instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
M-n200-k17,est_spoil + travel_to_c,True,143631.80000000002,143631.80000000002,2208.0,717.6,140706.2,1,30,17,0.13374590873718262,1,,,,,
P-n101-k4,est_spoil + travel_to_c,True,371415.4,371415.4,1077.0,46100.0,324238.4,31,60,4,0.03517460823059082,1,,,,,
P-n23-k8,5 * est_spoil + travel_to_c,True,4775.0,4775.0,746.0,0.0,4029.0,0,1,9,0.001394033432006836,1,,,,,
A-n38-k5,5 * est_spoil + travel_to_c,True,23548.0,23548.0,1083.0,96.0,22369.0,2,4,5,0.00493311882019043,1,,,,,
A-n33-k5,5 * est_spoil + travel_to_c,True,21458.0,21458.0,969.0,0.0,20489.0,0,6,5,0.004634857177734375,1,,,,,
B-n35-k5,5 * est_spoil + travel_to_c,True,21448.2,21448.2,1275.0,436.79999999999995,19736.4,1,8,5,0.0046613216400146484,1,,,,,
B-n31-k5,5 * est_spoil + travel_to_c,True,21328.0,21328.0,946.0,0.0,20382.0,0,3,5,0.003426074981689453,1,,,,,
A-n48-k7,5 * est_spoil + travel_to_c,True,14589.0,14589.0,1534.0,0.0,13055.0,0,7,7,0.007560253143310547,1,,,,,
A-n39-k5,5 * est_spoil + travel_to_c,True,54367.0,54367.0,1249.0,25.6,53092.4,1,11,5,0.005018949508666992,1,,,,,
A-n37-k6,5 * est_spoil + travel_to_c,True,32452.0,32452.0,1446.0,0.0,31006.0,0,9,6,0.003888368606567383,1,,,,,
P-n16-k8,5 * est_spoil + travel_to_c,True,497.0,497.0,497.0,0.0,0.0,0,0,8,0.0011048316955566406,1,,,,,
A-n37-k5,5 * est_spoil + travel_to_c,True,32260.0,32260.0,1016.0,0.0,31244.0,0,7,5,0.006174325942993164,1,,,,,
P-n70-k10,5 * est_spoil + travel_to_c,True,56577.0,56577.0,1245.0,0.0,55332.0,0,10,11,0.018274784088134766,1,,,,,
E-n76-k8,5 * est_spoil + travel_to_c,True,79435.6,79435.6,1127.0,0.0,78308.6,0,12,8,0.022876262664794922,1,,,,,
A-n55-k9,5 * est_spoil + travel_to_c,True,48109.4,48109.4,1727.0,374.4,46008.0,1,8,9,0.010255098342895508,1,,,,,
A-n54-k7,5 * est_spoil + travel_to_c,True,40479.6,40479.6,1620.0,168.0,38691.6,1,15,7,0.011845827102661133,1,,,,,
A-n62-k8,5 * est_spoil + travel_to_c,True,21919.0,21919.0,1812.0,0.0,20107.0,0,10,8,0.013231992721557617,1,,,,,
B-n52-k7,5 * est_spoil + travel_to_c,True,16140.4,16140.4,1244.0,0.0,14896.4,0,5,7,0.009208202362060547,1,,,,,
B-n56-k7,5 * est_spoil + travel_to_c,True,26366.4,26366.4,1367.0,0.0,24999.4,0,8,7,0.01046895980834961,1,,,,,
P-n55-k7,5 * est_spoil + travel_to_c,True,51269.0,51269.0,860.0,0.0,50409.0,0,6,7,0.013583660125732422,1,,,,,
P-n65-k10,5 * est_spoil + travel_to_c,True,24695.0,24695.0,1089.0,0.0,23606.0,0,6,10,0.017050504684448242,1,,,,,
